"news,600596,857138805.html",进场信号有四点：1、止跌时9.80可进场2、二次探底时再,2104,1,2019-07-17 21:14:31
"news,600596,857128430.html",开工了（六）,3253,8,2019-07-17 19:22:30
"news,600596,857122445.html",这次会到60吗,1530,5,2019-07-17 18:13:53
"news,600596,857105238.html",新安股份07月17日资金揭秘,1583,1,2019-07-17 16:06:25
"news,600596,857104077.html",今天这么一走，新安的未来走势就清楚了，如果大盘后期,2930,1,2019-07-17 15:59:45
"news,600596,857103644.html",挣了点走了，这股太墨迹，典型的急跌慢涨，都急死我了,1271,2,2019-07-17 15:56:31
"news,600596,857095020.html",本周两个十字星把我振出来了，今天就拉，我是被监控了,1546,2,2019-07-17 15:05:45
"news,600596,857094327.html",不错不错量慢慢的也起来了，图形很好,878,0,2019-07-17 15:03:42
"news,600596,857093004.html",上涨了，董监高又要减持了？,1094,2,2019-07-17 15:00:26
"news,600596,857092969.html",不容易呀,674,0,2019-07-17 15:00:17
"news,600596,857089891.html",能否破11，加把劲，我已经支持了一点。意思一下。尽力,768,0,2019-07-17 14:54:00
"news,600596,857085663.html",满上，怕个P,683,0,2019-07-17 14:45:31
"news,600596,857084994.html",回补下面缺口后才是真正的涨,1143,2,2019-07-17 14:44:08
"news,600596,857084791.html",各位砖家去哪里了？叫兽也请出来走两步！,683,0,2019-07-17 14:43:47
"news,600596,857079319.html",我最喜欢和买啥啥就跌，卖啥啥就涨的人交你朋友啊,826,1,2019-07-17 14:33:37
"news,600596,857071775.html",这次会到30吗,2942,11,2019-07-17 14:18:25
"news,600596,857068731.html",主力接了不少货，大家不要卖！,1498,5,2019-07-17 14:11:28
"news,600596,857063363.html",日线级别底背驰，兄弟们可以放心干了,1058,2,2019-07-17 13:59:39
"news,600596,857062637.html",看样子今天要破10.95,799,1,2019-07-17 13:58:00
"news,600596,857062437.html",冲冲冲，一鼓作气涨停板 一鼓作气,798,0,2019-07-17 13:57:31
"news,600596,857060516.html",今天提前一个小时发力，是要拉板的节奏吗？,832,2,2019-07-17 13:53:06
"news,600596,857059163.html",买啥啥就跌，卖啥啥就涨,600,1,2019-07-17 13:50:03
"news,600596,857058116.html",起飞吧,521,0,2019-07-17 13:47:41
"news,600596,857053534.html",开始了要,478,0,2019-07-17 13:37:14
